Classifier;Rounds;Precision;Recall;F-score;Support;Accuracy;Next version;
d_tree;1;0.5204081632653061;1.0;0.6845637583892618;51.0;0.8252788104089219;release-1.0.4;
d_tree;2;0.5204081632653061;1.0;0.6845637583892618;51.0;0.8246268656716418;release-1.1.2-rc1;
d_tree;3;0.5204081632653061;1.0;0.6845637583892618;51.0;0.8239700374531835;release-0.20.205.0;
d_tree;4;0.5204081632653061;1.0;0.6845637583892618;51.0;0.8233082706766918;release-0.23.3-rc0;
d_tree;5;0.8947368421052632;1.0;0.9444444444444444;51.0;0.9773584905660377;release-2.4.0;
d_tree;6;0.8928571428571429;1.0;0.9433962264150945;50.0;0.9772727272727273;YARN-5355_branch2-2017-10-17;
d_tree;7;0.8928571428571429;1.0;0.9433962264150945;50.0;0.9771863117870723;release-2.7.0;
d_tree;8;0.8909090909090909;1.0;0.9423076923076923;49.0;0.9770992366412213;rel/release-2.8.3;
d_tree;9;0.8909090909090909;1.0;0.9423076923076923;49.0;0.9770114942528736;release-2.4.1-rc1;
d_tree;10;0.8888888888888888;1.0;0.9411764705882353;48.0;0.9769230769230769;release-0.9.1;
d_tree;11;0.8888888888888888;1.0;0.9411764705882353;48.0;0.9768339768339769;YARN-2928-2016-07-08;
d_tree;12;0.8888888888888888;1.0;0.9411764705882353;48.0;0.9767441860465116;release-0.23.7;
d_tree;13;0.8888888888888888;1.0;0.9411764705882353;48.0;0.9766536964980544;release-1.1.2-rc0;
d_tree;14;0.8888888888888888;1.0;0.9411764705882353;48.0;0.9765625;release-2.6.3-RC1;
d_tree;15;0.8867924528301887;1.0;0.9400000000000001;47.0;0.9764705882352941;release-2.5.0;
d_tree;16;0.8846153846153846;1.0;0.9387755102040816;46.0;0.9763779527559056;release-1.1.0-rc5;
d_tree;17;0.8846153846153846;1.0;0.9387755102040816;46.0;0.9762845849802372;release-2.0.2-alpha-rc0;
d_tree;18;0.8846153846153846;1.0;0.9387755102040816;46.0;0.9761904761904762;release-1.0.2-rc2;
d_tree;19;0.8846153846153846;1.0;0.9387755102040816;46.0;0.9760956175298805;release-2.6.3-RC0.1;
d_tree;20;0.8823529411764706;1.0;0.9375;45.0;0.976;release-2.0.4-alpha-rc0;
d_tree;21;0.8823529411764706;1.0;0.9375;45.0;0.9759036144578314;release-0.11.1;
d_tree;22;0.8823529411764706;1.0;0.9375;45.0;0.9758064516129032;release-2.1.0-beta-rc1;
d_tree;23;0.9;1.0;0.9473684210526316;45.0;0.979757085020243;release-0.15.2;
d_tree;24;0.9;1.0;0.9473684210526316;45.0;0.9796747967479674;release-2.0.5-alpha-rc1;
d_tree;25;0.9;1.0;0.9473684210526316;45.0;0.9795918367346939;release-0.23.3;
d_tree;26;0.9;1.0;0.9473684210526316;45.0;0.9795081967213115;release-2.0.2-alpha-rc2;
d_tree;27;0.9;1.0;0.9473684210526316;45.0;0.9794238683127572;release-2.7.2-RC1;
d_tree;28;0.8979591836734694;1.0;0.9462365591397849;44.0;0.9793388429752066;release-0.13.1;
d_tree;29;0.8979591836734694;1.0;0.9462365591397849;44.0;0.979253112033195;release-2.5.0-rc0;
d_tree;30;0.8958333333333334;1.0;0.945054945054945;43.0;0.9791666666666666;release-0.19.2;
d_tree;31;0.8958333333333334;1.0;0.945054945054945;43.0;0.9790794979079498;rel/release-2.8.1;
d_tree;32;0.8958333333333334;1.0;0.945054945054945;43.0;0.9789915966386554;release-1.2.0-rc0;
d_tree;33;0.8958333333333334;1.0;0.945054945054945;43.0;0.9789029535864979;release-2.8.3-RC0;
d_tree;34;0.8958333333333334;1.0;0.945054945054945;43.0;0.9788135593220338;release-0.10.0;
d_tree;35;0.8958333333333334;1.0;0.945054945054945;43.0;0.9787234042553191;rel/release-3.0.0-alpha2;
d_tree;36;0.8958333333333334;1.0;0.945054945054945;43.0;0.9786324786324786;release-1.1.2-rc5;
d_tree;37;0.8958333333333334;1.0;0.945054945054945;43.0;0.9785407725321889;release-2.2.0-rc0;
d_tree;38;0.8936170212765957;1.0;0.9438202247191011;42.0;0.978448275862069;release-0.20.3-rc0;
d_tree;39;0.8936170212765957;1.0;0.9438202247191011;42.0;0.9783549783549783;release-2.0.4-alpha-rc1;
d_tree;40;0.8936170212765957;1.0;0.9438202247191011;42.0;0.9782608695652174;release-0.1.1;
d_tree;41;0.8936170212765957;1.0;0.9438202247191011;42.0;0.9781659388646288;release-0.3.2;
d_tree;42;0.8936170212765957;1.0;0.9438202247191011;42.0;0.9780701754385965;release-0.13.0;
d_tree;43;0.8936170212765957;1.0;0.9438202247191011;42.0;0.9779735682819384;release-2.3.0;
d_tree;44;0.8913043478260869;1.0;0.9425287356321839;41.0;0.9778761061946902;release-2.7.5-RC1;
d_tree;45;0.8888888888888888;1.0;0.9411764705882353;40.0;0.9777777777777777;release-2.1.1-beta-rc0;
d_tree;46;0.9090909090909091;1.0;0.9523809523809523;40.0;0.9821428571428571;release-0.23.6-rc0;
d_tree;47;0.9090909090909091;1.0;0.9523809523809523;40.0;0.9820627802690582;release-0.21.0-rc2;
d_tree;48;0.9090909090909091;1.0;0.9523809523809523;40.0;0.9819819819819819;release-1.0.2;
d_tree;49;0.9090909090909091;1.0;0.9523809523809523;40.0;0.9819004524886877;release-0.16.1;
d_tree;50;0.9090909090909091;1.0;0.9523809523809523;40.0;0.9818181818181818;rel/release-3.0.0-alpha1;
d_tree;51;0.9090909090909091;1.0;0.9523809523809523;40.0;0.9817351598173516;YARN-2928-2016-06-21;
