Classifier;Rounds;Precision;Recall;F-score;Support;Accuracy;Next version;
d_tree;1;0.9693877551020408;0.8558558558558559;0.9090909090909091;222.0;0.8587360594795539;release-2.3.0;
d_tree;2;0.973568281938326;1.0;0.9866071428571429;221.0;0.9776119402985075;release-2.8.0-RC2;
d_tree;3;0.973568281938326;1.0;0.9866071428571429;221.0;0.9775280898876404;YARN-5355_branch2-2017-08-31;
d_tree;4;0.973568281938326;1.0;0.9866071428571429;221.0;0.9774436090225563;release-1.0.2-rc2;
d_tree;5;0.9734513274336283;1.0;0.9865470852017937;220.0;0.9773584905660377;release-2.6.5-RC1;
d_tree;6;0.9733333333333334;1.0;0.9864864864864865;219.0;0.9772727272727273;release-2.6.4-RC0;
d_tree;7;0.9732142857142857;1.0;0.9864253393665159;218.0;0.9771863117870723;release-3.0.1-RC0;
d_tree;8;0.9732142857142857;1.0;0.9864253393665159;218.0;0.9770992366412213;release-1.1.2-rc4;
d_tree;9;0.9730941704035875;1.0;0.9863636363636364;217.0;0.9770114942528736;release-1.0.0-rc2;
d_tree;10;0.972972972972973;1.0;0.9863013698630138;216.0;0.9769230769230769;release-1.0.0-rc3;
d_tree;11;0.9728506787330317;1.0;0.9862385321100917;215.0;0.9768339768339769;rel/release-2.8.1;
d_tree;12;0.9728506787330317;1.0;0.9862385321100917;215.0;0.9767441860465116;release-0.20.204.0-rc3;
d_tree;13;0.9727272727272728;1.0;0.9861751152073733;214.0;0.9766536964980544;release-0.23.6-rc1-old;
d_tree;14;0.9726027397260274;1.0;0.9861111111111112;213.0;0.9765625;rel/release-2.9.0;
d_tree;15;0.9726027397260274;1.0;0.9861111111111112;213.0;0.9764705882352941;release-2.0.6-alpha;
d_tree;16;0.9724770642201835;1.0;0.986046511627907;212.0;0.9763779527559056;release-2.5.0;
d_tree;17;0.9723502304147466;1.0;0.985981308411215;211.0;0.9762845849802372;release-2.8.0-RC3;
d_tree;18;0.9723502304147466;1.0;0.985981308411215;211.0;0.9761904761904762;release-2.7.2-RC1;
d_tree;19;0.9722222222222222;1.0;0.9859154929577464;210.0;0.9760956175298805;release-2.6.1-RC0;
